,Age,Sex,N,Und,Alc,Smk,HIV,Dia
146,90,f,46411.19005080224,0.0,0.0,0.0,0.0,0.0
147,90,f,954.0773461411346,0.0,1.0,0.0,0.0,0.0
148,91,f,34818.29203911628,0.0,0.0,0.0,0.0,0.0
149,91,f,715.7615141840743,0.0,1.0,0.0,0.0,0.0
150,92,f,25531.39544024307,0.0,0.0,0.0,0.0,0.0
151,92,f,524.8502780955068,0.0,1.0,0.0,0.0,0.0
152,93,f,18150.638056337997,0.0,0.0,0.0,0.0,0.0
153,93,f,373.1236490295492,0.0,1.0,0.0,0.0,0.0
154,94,f,12468.71268968353,0.0,0.0,0.0,0.0,0.0
155,94,f,256.3200017010536,0.0,1.0,0.0,0.0,0.0
156,95,f,8290.735045796173,0.0,0.0,0.0,0.0,0.0
157,95,f,170.4330891191139,0.0,1.0,0.0,0.0,0.0
158,96,f,5355.047725309627,0.0,0.0,0.0,0.0,0.0
159,96,f,110.0840059612782,0.0,1.0,0.0,0.0,0.0
160,97,f,3353.4074417300676,0.0,0.0,0.0,0.0,0.0
161,97,f,68.93617830169066,0.0,1.0,0.0,0.0,0.0
162,98,f,2024.1567956911988,0.0,0.0,0.0,0.0,0.0
163,98,f,41.61070081789942,0.0,1.0,0.0,0.0,0.0
164,99,f,1180.1758072307719,0.0,0.0,0.0,0.0,0.0
165,99,f,24.26093795289878,0.0,1.0,0.0,0.0,0.0
166,100,f,1423.1988517460559,0.0,0.0,0.0,0.0,0.0
167,100,f,29.256775833989117,0.0,1.0,0.0,0.0,0.0
168,18,f,1213931.0491426354,0.0,0.0,0.0,0.0,0.0
169,18,f,24954.84628807335,0.0,1.0,0.0,0.0,0.0
170,19,f,1243541.3655002736,0.0,0.0,0.0,0.0,0.0
171,19,f,25563.547164262294,0.0,1.0,0.0,0.0,0.0
172,20,f,1266137.838106383,0.0,0.0,0.0,0.0,0.0
173,20,f,26028.064074787304,0.0,1.0,0.0,0.0,0.0
174,21,f,1283832.3445839458,0.0,0.0,0.0,0.0,0.0
175,21,f,26391.811002261282,0.0,1.0,0.0,0.0,0.0
176,22,f,1301119.7700420094,0.0,0.0,0.0,0.0,0.0
177,22,f,26747.189543181863,0.0,1.0,0.0,0.0,0.0
178,23,f,1310880.4451129695,0.0,0.0,0.0,0.0,0.0
179,23,f,26947.840268967047,0.0,1.0,0.0,0.0,0.0
180,24,f,1311435.8364849242,0.0,0.0,0.0,0.0,0.0
181,24,f,26959.257479464002,0.0,1.0,0.0,0.0,0.0
182,25,f,1312422.2548187021,0.0,0.0,0.0,0.0,0.0
183,25,f,26979.535334546916,0.0,1.0,0.0,0.0,0.0
184,26,f,1309161.7444139442,0.0,0.0,0.0,0.0,0.0
185,26,f,26912.508845662836,0.0,1.0,0.0,0.0,0.0
186,27,f,1303242.461961525,0.0,0.0,0.0,0.0,0.0
187,27,f,26790.825835873988,0.0,1.0,0.0,0.0,0.0
188,28,f,1298900.5219034473,0.0,0.0,0.0,0.0,0.0
189,28,f,26701.56833906815,0.0,1.0,0.0,0.0,0.0
190,29,f,1302724.148177684,0.0,0.0,0.0,0.0,0.0
191,29,f,26780.17083136292,0.0,1.0,0.0,0.0,0.0
192,30,f,1314146.3626659943,0.0,0.0,0.0,0.0,0.0
193,30,f,27014.977912890743,0.0,1.0,0.0,0.0,0.0
194,31,f,1324528.0873378608,0.0,0.0,0.0,0.0,0.0
195,31,f,27228.395588939562,0.0,1.0,0.0,0.0,0.0
196,32,f,1334615.508654074,0.0,0.0,0.0,0.0,0.0
197,32,f,27435.763254975394,0.0,1.0,0.0,0.0,0.0
198,33,f,1344930.0301974842,0.0,0.0,0.0,0.0,0.0
199,33,f,27647.799432674787,0.0,1.0,0.0,0.0,0.0
200,34,f,1352890.1248956674,0.0,0.0,0.0,0.0,0.0
201,34,f,27811.435530270253,0.0,1.0,0.0,0.0,0.0
202,35,f,1358230.8424835606,0.0,0.0,0.0,0.0,0.0
203,35,f,27921.22495082096,0.0,1.0,0.0,0.0,0.0
204,36,f,1362613.7223785135,0.0,0.0,0.0,0.0,0.0
205,36,f,28011.324050069547,0.0,1.0,0.0,0.0,0.0
206,37,f,1361669.7887811163,0.0,0.0,0.0,0.0,0.0
207,37,f,27991.919556012133,0.0,1.0,0.0,0.0,0.0
208,38,f,1354873.0034100038,0.0,0.0,0.0,0.0,0.0
209,38,f,27852.197671223923,0.0,1.0,0.0,0.0,0.0
210,39,f,1340904.7945378788,0.0,0.0,0.0,0.0,0.0
211,39,f,27565.05244533175,0.0,1.0,0.0,0.0,0.0
212,40,f,1320259.5300062585,0.0,0.0,0.0,0.0,0.0
213,40,f,27140.64662481413,0.0,1.0,0.0,0.0,0.0
214,41,f,1294423.403138705,0.0,0.0,0.0,0.0,0.0
215,41,f,26609.5319662721,0.0,1.0,0.0,0.0,0.0
216,42,f,1265937.0011707665,0.0,0.0,0.0,0.0,0.0
217,42,f,26023.935459030403,0.0,1.0,0.0,0.0,0.0
218,43,f,1235750.4372978595,0.0,0.0,0.0,0.0,0.0
219,43,f,25403.388631477443,0.0,1.0,0.0,0.0,0.0
220,44,f,1204857.8543512854,0.0,0.0,0.0,0.0,0.0
221,44,f,24768.328131609847,0.0,1.0,0.0,0.0,0.0
222,45,f,1174310.5564440212,0.0,0.0,0.0,0.0,0.0
223,45,f,24140.365674985846,0.0,1.0,0.0,0.0,0.0
224,46,f,1145310.475390756,0.0,0.0,0.0,0.0,0.0
225,46,f,23544.209438981317,0.0,1.0,0.0,0.0,0.0
226,47,f,1124055.7480045152,0.0,0.0,0.0,0.0,0.0
227,47,f,23107.274857570657,0.0,1.0,0.0,0.0,0.0
228,48,f,1104671.8939185166,0.0,0.0,0.0,0.0,0.0
229,48,f,22708.799919864618,0.0,1.0,0.0,0.0,0.0
230,49,f,1081887.7160225813,0.0,0.0,0.0,0.0,0.0
231,49,f,22240.42434153605,0.0,1.0,0.0,0.0,0.0
232,15,f,145458.58790270676,0.0,0.0,1.0,0.0,0.0
233,16,f,146920.7186723834,0.0,0.0,1.0,0.0,0.0
234,17,f,147160.36093823973,0.0,0.0,1.0,0.0,0.0
235,15,f,7669.219999999999,0.0,0.0,0.0,1.0,0.0
236,16,f,7746.3099999999995,0.0,0.0,0.0,1.0,0.0
237,17,f,7758.945,0.0,0.0,0.0,1.0,0.0
238,15,f,38346.1,1.0,0.0,0.0,0.0,0.0
239,16,f,38731.55,1.0,0.0,0.0,0.0,0.0
240,17,f,38794.725,1.0,0.0,0.0,0.0,0.0
241,50,f,119889.57686900746,0.0,0.0,0.0,0.0,1.0
242,51,f,117567.68562667933,0.0,0.0,0.0,0.0,1.0
243,52,f,115448.6467300213,0.0,0.0,0.0,0.0,1.0
244,53,f,114083.84497576235,0.0,0.0,0.0,0.0,1.0
245,54,f,113238.48139236518,0.0,0.0,0.0,0.0,1.0
246,55,f,112218.19693946592,0.0,0.0,0.0,0.0,1.0
247,56,f,110965.20837574198,0.0,0.0,0.0,0.0,1.0
248,57,f,109297.17553333416,0.0,0.0,0.0,0.0,1.0
249,58,f,106827.42203904167,0.0,0.0,0.0,0.0,1.0
250,59,f,103790.3977209497,0.0,0.0,0.0,0.0,1.0
251,60,f,100358.75401612166,0.0,0.0,0.0,0.0,1.0
252,61,f,96692.39862561942,0.0,0.0,0.0,0.0,1.0
253,62,f,92972.18785763072,0.0,0.0,0.0,0.0,1.0
254,63,f,89167.0479449187,0.0,0.0,0.0,0.0,1.0
255,64,f,85325.85897077736,0.0,0.0,0.0,0.0,1.0
256,65,f,81507.80075033764,0.0,0.0,0.0,0.0,1.0
257,66,f,77766.64137522296,0.0,0.0,0.0,0.0,1.0
258,67,f,74061.79291912666,0.0,0.0,0.0,0.0,1.0
259,68,f,70502.88642600819,0.0,0.0,0.0,0.0,1.0
260,69,f,67171.97060711101,0.0,0.0,0.0,0.0,1.0
261,70,f,63851.26723418778,0.0,0.0,0.0,0.0,1.0
262,71,f,60254.12953306433,0.0,0.0,0.0,0.0,1.0
263,72,f,55337.92786990705,0.0,0.0,0.0,0.0,1.0
264,73,f,50190.06952628139,0.0,0.0,0.0,0.0,1.0
265,74,f,46123.33388208345,0.0,0.0,0.0,0.0,1.0
266,75,f,42410.193268999785,0.0,0.0,0.0,0.0,1.0
267,76,f,39368.89194361957,0.0,0.0,0.0,0.0,1.0
268,77,f,36832.53933583901,0.0,0.0,0.0,0.0,1.0
269,78,f,34375.96600686331,0.0,0.0,0.0,0.0,1.0
270,79,f,31988.26122381433,0.0,0.0,0.0,0.0,1.0
271,80,f,29414.288409069988,0.0,0.0,0.0,0.0,1.0
272,81,f,26791.435511031643,0.0,0.0,0.0,0.0,1.0
273,82,f,24124.503252165683,0.0,0.0,0.0,0.0,1.0
274,83,f,21275.929112344682,0.0,0.0,0.0,0.0,1.0
275,84,f,18431.981123264006,0.0,0.0,0.0,0.0,1.0
276,85,f,15660.39311463106,0.0,0.0,0.0,0.0,1.0
277,86,f,13087.7295878321,0.0,0.0,0.0,0.0,1.0
278,87,f,10775.265218710672,0.0,0.0,0.0,0.0,1.0
279,88,f,8672.548778438331,0.0,0.0,0.0,0.0,1.0
280,89,f,6810.479462525924,0.0,0.0,0.0,0.0,1.0
281,90,f,5217.512462319603,0.0,0.0,0.0,0.0,1.0
282,91,f,3914.2472414932718,0.0,0.0,0.0,0.0,1.0
283,92,f,2870.2210338512004,0.0,0.0,0.0,0.0,1.0
284,93,f,2040.4816199355146,0.0,0.0,0.0,0.0,1.0
285,94,f,1401.7236743185365,0.0,0.0,0.0,0.0,1.0
286,95,f,932.0384453809909,0.0,0.0,0.0,0.0,1.0
287,96,f,602.0105972834514,0.0,0.0,0.0,0.0,1.0
288,97,f,376.98764240499145,0.0,0.0,0.0,0.0,1.0
289,98,f,227.55424490618498,0.0,0.0,0.0,0.0,1.0
290,99,f,132.67451179800582,0.0,0.0,0.0,0.0,1.0
291,100,f,159.994986924832,0.0,0.0,0.0,0.0,1.0
292,18,f,136469.25171204333,0.0,0.0,0.0,0.0,1.0
293,19,f,139798.02208918936,0.0,0.0,0.0,0.0,1.0
294,20,f,142338.30121794663,0.0,0.0,0.0,0.0,1.0
295,21,f,144327.50485526386,0.0,0.0,0.0,0.0,1.0
296,22,f,146270.94473840707,0.0,0.0,0.0,0.0,1.0
297,23,f,147368.23277966699,0.0,0.0,0.0,0.0,1.0
298,24,f,147430.66947653829,0.0,0.0,0.0,0.0,1.0
299,25,f,147541.56191312335,0.0,0.0,0.0,0.0,1.0
300,26,f,147175.01768851446,0.0,0.0,0.0,0.0,1.0
301,27,f,146509.57623076084,0.0,0.0,0.0,0.0,1.0
302,28,f,146021.45846565146,0.0,0.0,0.0,0.0,1.0
303,29,f,146451.30776956383,0.0,0.0,0.0,0.0,1.0
304,30,f,147735.3848719784,0.0,0.0,0.0,0.0,1.0
305,31,f,148902.49086078288,0.0,0.0,0.0,0.0,1.0
306,32,f,150036.51147892262,0.0,0.0,0.0,0.0,1.0
307,33,f,151196.06254056742,0.0,0.0,0.0,0.0,1.0
